rank,athlete,country,time,time_sec,sb,dnf,dob,age,sex,olympic,lockdown,prior_attend,case_pp,gdp2016,gdp2017,gdp2018,gdp2019,gdp2020,continent
1,Eliud Kipchoge,Kenya,2H 8M 38S,7718,0,0,1984-11-05,36,Men,Tokyo2020,1,1,0.00362853418087344,69188755364,78965004656,87778582964,95503088538,98842939649,Africa
2,Abdi Nageeye,Netherlands,2H 9M 58S,7798,1,0,1989-03-02,32,Men,Tokyo2020,1,1,0.10831664757596977,783528000000,831810000000,913597000000,910194000000,913865000000,Europe
3,Bashir Abdi,Belgium,2H 10M 0S,7800,1,0,1989-02-10,32,Men,Tokyo2020,1,0,0.09677157756863718,475740000000,501523000000,543411000000,533255000000,515332000000,Europe
4,Lawrence Cherono,Kenya,2H 10M 2S,7802,1,0,1988-08-07,33,Men,Tokyo2020,1,0,0.00362853418087344,69188755364,78965004656,87778582964,95503088538,98842939649,Africa
5,Ayad Lamdassem,Spain,2H 10M 16S,7816,1,0,1981-10-11,39,Men,Tokyo2020,1,0,0.09088392090280903,1232080000000,1309300000000,1420300000000,1393050000000,1281480000000,Europe
6,Suguru Osako,Japan,2H 10M 41S,7841,1,0,1991-05-23,30,Men,Tokyo2020,0,0,0.006781696875160751,5003680000000,4930840000000,5036890000000,5148780000000,4975420000000,Asia
7,Alphonce Simbu,Tanzania,2H 11M 35S,7895,1,0,1992-02-14,29,Men,Tokyo2020,0,1,8.52107987092757e-6,49774021003,53320625959,57003713748,61136873747,62409748427,Africa
8,Galen Rupp,United States,2H 11M 41S,7901,1,0,1986-05-08,35,Men,Tokyo2020,1,1,0.10431821030985437,18745100000000,19543000000000,20611900000000,21433200000000,20936600000000,North America
9,Othmane El Goumri,Morocco,2H 11M 58S,7918,0,0,1992-05-28,29,Men,Tokyo2020,1,0,0.015381994495992177,103312000000,109683000000,118096000000,119700000000,112871000000,Africa
10,Koen Naert,Belgium,2H 12M 13S,7933,1,0,1989-09-03,31,Men,Tokyo2020,1,1,0.09677157756863718,475740000000,501523000000,543411000000,533255000000,515332000000,Europe
11,Mohamed Reda El Aaraby,Morocco,2H 12M 22S,7942,0,0,1989-11-12,31,Men,Tokyo2020,1,0,0.015381994495992177,103312000000,109683000000,118096000000,119700000000,112871000000,Africa
12,Nicolas Navarro,France,2H 12M 50S,7970,1,0,1991-03-12,30,Men,Tokyo2020,1,0,0.0918954395032031,2471290000000,2588740000000,2789590000000,2728870000000,2630320000000,Africa
13,Marhu Teferi,Israel,2H 13M 2S,7982,0,0,1992-08-17,28,Men,Tokyo2020,1,1,0.0990101023148062,318617000000,352668000000,370456000000,394652000000,401954000000,Asia
14,Goitom Kifle,Eritrea,2H 13M 22S,8002,0,0,1993-12-03,27,Men,Tokyo2020,1,0,0.0018271911419578072,NA,NA,NA,NA,NA,Africa
15,Jeison Suárez,Colombia,2H 13M 29S,8009,0,0,1991-03-21,30,Men,Tokyo2020,1,0,0.09222295654468013,282825000000,311884000000,334198000000,323430000000,271347000000,South America
16,Tachlowini Gabriyesos,Refugee Olympic Team,2H 14M 2S,8042,0,0,1998-01-01,23,Men,Tokyo2020,1,0,NA,NA,NA,NA,NA,NA,NA
17,Morhad Amdouni,France,2H 14M 33S,8073,1,0,1988-06-21,33,Men,Tokyo2020,1,0,0.0918954395032031,2471290000000,2588740000000,2789590000000,2728870000000,2630320000000,Africa
18,Hamza Sahli,Morocco,2H 14M 48S,8088,1,0,1993-05-10,28,Men,Tokyo2020,1,0,0.015381994495992177,103312000000,109683000000,118096000000,119700000000,112871000000,Africa
19,Yang Shaohui,China,2H 14M 58S,8098,0,0,1992-07-09,29,Men,Tokyo2020,1,0,6.553293262407884e-5,11233300000000,12310400000000,13894800000000,14279900000000,14722700000000,Asia
